crime_type,month,count,avg_count,max_year,max_count,min_year,min_count,month_name
BURGLARY,1,813.4545454545455,813,2017,1274,2021,486,Jan
BURGLARY,2,634.1818181818181,634,2017,1013,2021,352,Feb
BURGLARY,3,693.4545454545455,693,2016,1048,2021,394,Mar
BURGLARY,4,717.4545454545455,717,2017,968,2021,416,Apr
BURGLARY,5,867.8181818181819,868,2020,1323,2021,472,May
BURGLARY,6,836.0,836,2015,1130,2021,509,Jun
BURGLARY,7,920.5454545454545,921,2016,1349,2021,556,Jul
BURGLARY,8,963.0,963,2016,1374,2021,599,Aug
BURGLARY,9,902.1818181818181,902,2016,1371,2020,615,Sep
BURGLARY,10,938.8181818181819,939,2016,1314,2020,644,Oct
BURGLARY,11,878.3636363636364,878,2016,1376,2020,619,Nov
BURGLARY,12,880.5454545454545,881,2015,1376,2020,549,Dec
ROBBERY,1,798.0,798,2017,1076,2025,542,Jan
ROBBERY,2,587.8181818181819,588,2017,787,2025,406,Feb
ROBBERY,3,624.4545454545455,624,2016,785,2025,438,Mar
ROBBERY,4,637.1818181818181,637,2017,851,2025,423,Apr
ROBBERY,5,717.1818181818181,717,2016,961,2021,506,May
ROBBERY,6,764.1818181818181,764,2017,982,2020,574,Jun
ROBBERY,7,852.3636363636364,852,2016,1128,2025,572,Jul
ROBBERY,8,893.0909090909091,893,2016,1238,2025,568,Aug
ROBBERY,9,833.5454545454545,834,2023,1144,2025,445,Sep
ROBBERY,10,881.9090909090909,882,2023,1208,2025,437,Oct
ROBBERY,11,833.2727272727273,833,2016,1163,2025,446,Nov
ROBBERY,12,838.5454545454545,839,2016,1089,2025,384,Dec
THEFT,1,4268.0,4268,2017,4957,2021,2670,Jan
THEFT,2,3787.909090909091,3788,2017,4398,2021,2125,Feb
THEFT,3,4238.181818181818,4238,2018,4751,2021,2740,Mar
THEFT,4,4203.090909090909,4203,2018,4999,2020,2508,Apr
THEFT,5,4719.181818181818,4719,2018,5739,2020,2926,May
THEFT,6,5002.090909090909,5002,2018,6038,2020,3088,Jun
THEFT,7,5410.272727272727,5410,2018,6168,2020,3676,Jul
THEFT,8,5452.454545454545,5452,2018,6530,2020,3886,Aug
THEFT,9,5023.0,5023,2018,5785,2020,3622,Sep
THEFT,10,5099.181818181818,5099,2017,5736,2020,3432,Oct
THEFT,11,4593.181818181818,4593,2017,5383,2020,2969,Nov
THEFT,12,4686.363636363636,4686,2018,5693,2020,2925,Dec
